period,label,total,personnel,operating
2024-25,2024-25 Actual,4860732,2718518,2142214
2025-26,2025-26 Original Budget,5050174,2947264,2102910
2025-26,2025-26 Revised Budget,5110290,2947264,2163026
2025-26,2025-26 Estimated,5113959,2961341,2152618
2026-27,2026-27 Recommended,5287768,3104540,2183228
