fee_item,current_fee,note,effective
Yard waste cart (each),75,"Was scheduled to rise to $100 on July 1 2026; Town reversed the increase and held it at $75","Held flat; planned $100 increase cancelled"
First trash cart,0,Free with service,Ongoing
Additional trash cart,60,One additional cart per household,Ongoing
Loose brush / large pile pickup,125,"Per truckload, on request; small loose piles no longer part of free weekly collection as of July 1 2026","Effective July 1 2026"
